DATAFLOW,FORESTRY_AGR_AGR_001,AREA_AGR_AGR_001,YEAR_AGR_AGR_001,OBS_VALUE,OBS_STATUS
STATSNZ:AGR_AGR_001(1.0),6052,12,2012,,c
STATSNZ:AGR_AGR_001(1.0),6052,13,2005,602116,
STATSNZ:AGR_AGR_001(1.0),6052,13,2007,737562,
STATSNZ:AGR_AGR_001(1.0),6052,15,2004,824197,
STATSNZ:AGR_AGR_001(1.0),6052,16,2012,1244927,
STATSNZ:AGR_AGR_001(1.0),6052,17,2005,301358,
STATSNZ:AGR_AGR_001(1.0),6052,18,2013,0,
STATSNZ:AGR_AGR_001(1.0),6052,19,2013,5410951,
STATSNZ:AGR_AGR_001(1.0),6052,2,2017,559103,
STATSNZ:AGR_AGR_001(1.0),6052,20,2018,30225292,
STATSNZ:AGR_AGR_001(1.0),6052,4,2006,3472579,
STATSNZ:AGR_AGR_001(1.0),6052,4,2016,6553745,
STATSNZ:AGR_AGR_001(1.0),6052,5,2009,1088828,
STATSNZ:AGR_AGR_001(1.0),6052,5,2014,2145494,
STATSNZ:AGR_AGR_001(1.0),6052,6,2010,1847147,
STATSNZ:AGR_AGR_001(1.0),6052,6,2015,2195820,
STATSNZ:AGR_AGR_001(1.0),6052,7,2018,160944,
STATSNZ:AGR_AGR_001(1.0),6052,9,2007,535208,
STATSNZ:AGR_AGR_001(1.0),6053,10,2005,28225,
STATSNZ:AGR_AGR_001(1.0),6053,11,2008,3041,
STATSNZ:AGR_AGR_001(1.0),6053,11,2018,2953,
STATSNZ:AGR_AGR_001(1.0),6053,12,2014,,c
STATSNZ:AGR_AGR_001(1.0),6053,13,2002,1043,
STATSNZ:AGR_AGR_001(1.0),6053,13,2007,1460,
STATSNZ:AGR_AGR_001(1.0),6053,15,2011,1651,
STATSNZ:AGR_AGR_001(1.0),6053,17,2002,2402,
STATSNZ:AGR_AGR_001(1.0),6053,19,2010,11606,
STATSNZ:AGR_AGR_001(1.0),6053,2,2004,2555,
STATSNZ:AGR_AGR_001(1.0),6053,5,2017,4162,
STATSNZ:AGR_AGR_001(1.0),6053,9,2009,936,
STATSNZ:AGR_AGR_001(1.0),6050,10,2003,12355,
STATSNZ:AGR_AGR_001(1.0),6050,11,2015,,c
STATSNZ:AGR_AGR_001(1.0),6050,12,2015,2,
STATSNZ:AGR_AGR_001(1.0),6050,15,2013,147,
STATSNZ:AGR_AGR_001(1.0),6050,15,2014,273,
STATSNZ:AGR_AGR_001(1.0),6050,16,2013,1979,
STATSNZ:AGR_AGR_001(1.0),6050,18,2012,,c
STATSNZ:AGR_AGR_001(1.0),6050,19,2014,894,
STATSNZ:AGR_AGR_001(1.0),6050,20,2002,33674,
STATSNZ:AGR_AGR_001(1.0),6050,3,2009,87,
STATSNZ:AGR_AGR_001(1.0),6050,4,2008,103,
STATSNZ:AGR_AGR_001(1.0),6050,6,2007,54,
STATSNZ:AGR_AGR_001(1.0),6050,7,2007,71,
STATSNZ:AGR_AGR_001(1.0),6050,7,2017,65,
STATSNZ:AGR_AGR_001(1.0),6050,9,2016,41,
STATSNZ:AGR_AGR_001(1.0),6051,10,2008,22532,
STATSNZ:AGR_AGR_001(1.0),6051,11,2002,3064,
STATSNZ:AGR_AGR_001(1.0),6051,11,2004,3439,
STATSNZ:AGR_AGR_001(1.0),6051,11,2013,2709,
STATSNZ:AGR_AGR_001(1.0),6051,13,2012,1576,
STATSNZ:AGR_AGR_001(1.0),6051,15,2010,1273,
STATSNZ:AGR_AGR_001(1.0),6051,16,2008,2579,
STATSNZ:AGR_AGR_001(1.0),6051,16,2010,1045,
STATSNZ:AGR_AGR_001(1.0),6051,17,2018,1635,
STATSNZ:AGR_AGR_001(1.0),6051,19,2002,11297,
STATSNZ:AGR_AGR_001(1.0),6051,2,2007,588,
STATSNZ:AGR_AGR_001(1.0),6051,2,2017,1814,
STATSNZ:AGR_AGR_001(1.0),6051,20,2018,42984,
STATSNZ:AGR_AGR_001(1.0),6051,3,2017,4636,
STATSNZ:AGR_AGR_001(1.0),6051,4,2016,10558,
STATSNZ:AGR_AGR_001(1.0),6051,5,2014,2488,
STATSNZ:AGR_AGR_001(1.0),6051,5,2016,2890,
STATSNZ:AGR_AGR_001(1.0),6051,6,2015,3011,
STATSNZ:AGR_AGR_001(1.0),6051,7,2015,259,
STATSNZ:AGR_AGR_001(1.0),6051,8,2006,2172,
STATSNZ:AGR_AGR_001(1.0),6052,1,2007,1451640,
STATSNZ:AGR_AGR_001(1.0),6052,1,2017,4166507,
STATSNZ:AGR_AGR_001(1.0),6052,10,2006,13622723,
STATSNZ:AGR_AGR_001(1.0),6052,11,2008,1295583,
STATSNZ:AGR_AGR_001(1.0),6052,12,2011,136925,
STATSNZ:AGR_AGR_001(1.0),6052,15,2017,1278090,
STATSNZ:AGR_AGR_001(1.0),6052,16,2016,1108437,
STATSNZ:AGR_AGR_001(1.0),6052,17,2016,730832,
STATSNZ:AGR_AGR_001(1.0),6052,18,2014,0,
STATSNZ:AGR_AGR_001(1.0),6052,18,2015,0,
STATSNZ:AGR_AGR_001(1.0),6052,19,2010,4731053,
STATSNZ:AGR_AGR_001(1.0),6052,20,2008,19204115,
STATSNZ:AGR_AGR_001(1.0),6052,3,2003,6411553,
STATSNZ:AGR_AGR_001(1.0),6052,3,2012,3260413,
STATSNZ:AGR_AGR_001(1.0),6052,4,2005,4103699,
STATSNZ:AGR_AGR_001(1.0),6052,4,2014,5847494,
STATSNZ:AGR_AGR_001(1.0),6052,6,2002,1687895,
STATSNZ:AGR_AGR_001(1.0),6052,9,2009,489426,
STATSNZ:AGR_AGR_001(1.0),6053,10,2013,38912,
STATSNZ:AGR_AGR_001(1.0),6053,12,2016,176,
STATSNZ:AGR_AGR_001(1.0),6053,13,2014,1464,
STATSNZ:AGR_AGR_001(1.0),6053,14,2015,,c
STATSNZ:AGR_AGR_001(1.0),6053,16,2005,3109,
STATSNZ:AGR_AGR_001(1.0),6053,16,2006,3536,
STATSNZ:AGR_AGR_001(1.0),6053,18,2013,0,
STATSNZ:AGR_AGR_001(1.0),6053,19,2008,11911,
STATSNZ:AGR_AGR_001(1.0),6053,19,2017,11698,
STATSNZ:AGR_AGR_001(1.0),6053,2,2011,1470,
STATSNZ:AGR_AGR_001(1.0),6053,2,2012,1713,
STATSNZ:AGR_AGR_001(1.0),6053,20,2014,50219,
STATSNZ:AGR_AGR_001(1.0),6053,3,2011,7171,
STATSNZ:AGR_AGR_001(1.0),6053,6,2018,3015,
STATSNZ:AGR_AGR_001(1.0),6053,7,2016,386,
STATSNZ:AGR_AGR_001(1.0),6053,7,2018,388,
STATSNZ:AGR_AGR_001(1.0),6053,8,2009,2475,
STATSNZ:AGR_AGR_001(1.0),6050,1,2018,852,
STATSNZ:AGR_AGR_001(1.0),6050,16,2009,211,
STATSNZ:AGR_AGR_001(1.0),6050,17,2012,450,
STATSNZ:AGR_AGR_001(1.0),6050,19,2012,3088,
STATSNZ:AGR_AGR_001(1.0),6050,2,2014,4,
STATSNZ:AGR_AGR_001(1.0),6050,20,2004,15920,
STATSNZ:AGR_AGR_001(1.0),6050,4,2015,54,
STATSNZ:AGR_AGR_001(1.0),6050,5,2006,272,
STATSNZ:AGR_AGR_001(1.0),6050,7,2002,1275,
STATSNZ:AGR_AGR_001(1.0),6050,8,2013,1560,
STATSNZ:AGR_AGR_001(1.0),6050,8,2018,1109,
STATSNZ:AGR_AGR_001(1.0),6051,1,2005,2536,
STATSNZ:AGR_AGR_001(1.0),6051,10,2012,28863,
STATSNZ:AGR_AGR_001(1.0),6051,12,2018,101,
STATSNZ:AGR_AGR_001(1.0),6051,13,2014,1380,
STATSNZ:AGR_AGR_001(1.0),6051,16,2011,2654,
STATSNZ:AGR_AGR_001(1.0),6051,3,2004,9908,
STATSNZ:AGR_AGR_001(1.0),6051,4,2018,8822,
STATSNZ:AGR_AGR_001(1.0),6051,6,2009,2693,
STATSNZ:AGR_AGR_001(1.0),6051,6,2014,3027,
STATSNZ:AGR_AGR_001(1.0),6051,8,2008,2721,
STATSNZ:AGR_AGR_001(1.0),6051,9,2011,831,
STATSNZ:AGR_AGR_001(1.0),6052,1,2013,3237088,
STATSNZ:AGR_AGR_001(1.0),6052,10,2007,14147792,
STATSNZ:AGR_AGR_001(1.0),6052,11,2012,,c
STATSNZ:AGR_AGR_001(1.0),6052,11,2015,1007223,
STATSNZ:AGR_AGR_001(1.0),6052,13,2006,805567,
STATSNZ:AGR_AGR_001(1.0),6052,14,2017,5971,
STATSNZ:AGR_AGR_001(1.0),6052,15,2018,1275332,
STATSNZ:AGR_AGR_001(1.0),6052,16,2003,916378,
STATSNZ:AGR_AGR_001(1.0),6052,16,2018,1547489,
STATSNZ:AGR_AGR_001(1.0),6052,17,2009,388580,
STATSNZ:AGR_AGR_001(1.0),6052,17,2014,714616,
STATSNZ:AGR_AGR_001(1.0),6052,19,2009,4049626,
STATSNZ:AGR_AGR_001(1.0),6052,2,2003,1315053,
STATSNZ:AGR_AGR_001(1.0),6052,2,2013,585904,
STATSNZ:AGR_AGR_001(1.0),6052,20,2004,21555385,
STATSNZ:AGR_AGR_001(1.0),6052,20,2006,18376858,
STATSNZ:AGR_AGR_001(1.0),6052,3,2016,4411467,
STATSNZ:AGR_AGR_001(1.0),6052,4,2012,6388633,
STATSNZ:AGR_AGR_001(1.0),6052,5,2005,655080,
STATSNZ:AGR_AGR_001(1.0),6052,5,2015,1894070,
STATSNZ:AGR_AGR_001(1.0),6052,7,2017,175953,
STATSNZ:AGR_AGR_001(1.0),6052,8,2018,2885076,
STATSNZ:AGR_AGR_001(1.0),6052,9,2013,715264,
STATSNZ:AGR_AGR_001(1.0),6052,9,2016,607345,
STATSNZ:AGR_AGR_001(1.0),6053,1,2010,4802,
STATSNZ:AGR_AGR_001(1.0),6053,1,2015,6978,
STATSNZ:AGR_AGR_001(1.0),6053,10,2009,29552,
STATSNZ:AGR_AGR_001(1.0),6053,10,2014,38718,
STATSNZ:AGR_AGR_001(1.0),6053,13,2013,1761,
STATSNZ:AGR_AGR_001(1.0),6053,15,2012,1646,
STATSNZ:AGR_AGR_001(1.0),6053,16,2011,2964,
STATSNZ:AGR_AGR_001(1.0),6053,19,2011,12161,
STATSNZ:AGR_AGR_001(1.0),6053,2,2008,1021,
STATSNZ:AGR_AGR_001(1.0),6053,20,2016,47492,
STATSNZ:AGR_AGR_001(1.0),6053,3,2006,9030,
STATSNZ:AGR_AGR_001(1.0),6053,4,2007,10674,
STATSNZ:AGR_AGR_001(1.0),6053,5,2013,3030,
STATSNZ:AGR_AGR_001(1.0),6053,6,2003,4151,
STATSNZ:AGR_AGR_001(1.0),6053,8,2005,2889,
STATSNZ:AGR_AGR_001(1.0),6053,9,2010,913,
STATSNZ:AGR_AGR_001(1.0),6053,9,2015,937,
STATSNZ:AGR_AGR_001(1.0),6050,1,2007,138,
STATSNZ:AGR_AGR_001(1.0),6050,10,2016,2549,
STATSNZ:AGR_AGR_001(1.0),6050,16,2007,92,
STATSNZ:AGR_AGR_001(1.0),6050,16,2008,297,
STATSNZ:AGR_AGR_001(1.0),6050,17,2015,37,
STATSNZ:AGR_AGR_001(1.0),6050,19,2009,1076,
STATSNZ:AGR_AGR_001(1.0),6050,2,2015,,c
STATSNZ:AGR_AGR_001(1.0),6050,3,2014,860,
STATSNZ:AGR_AGR_001(1.0),6050,4,2012,340,
STATSNZ:AGR_AGR_001(1.0),6050,4,2013,520,
STATSNZ:AGR_AGR_001(1.0),6050,5,2003,3047,
STATSNZ:AGR_AGR_001(1.0),6050,5,2014,735,
STATSNZ:AGR_AGR_001(1.0),6050,6,2012,861,
STATSNZ:AGR_AGR_001(1.0),6050,7,2004,490,
STATSNZ:AGR_AGR_001(1.0),6050,8,2002,2969,
STATSNZ:AGR_AGR_001(1.0),6050,8,2012,1984,
STATSNZ:AGR_AGR_001(1.0),6051,1,2011,3177,
STATSNZ:AGR_AGR_001(1.0),6051,1,2012,5581,
STATSNZ:AGR_AGR_001(1.0),6051,1,2013,5713,
STATSNZ:AGR_AGR_001(1.0),6051,10,2014,30639,
STATSNZ:AGR_AGR_001(1.0),6051,12,2015,,c
STATSNZ:AGR_AGR_001(1.0),6051,12,2016,63,
STATSNZ:AGR_AGR_001(1.0),6051,13,2007,1251,
STATSNZ:AGR_AGR_001(1.0),6051,14,2015,0,
STATSNZ:AGR_AGR_001(1.0),6051,15,2005,1981,
STATSNZ:AGR_AGR_001(1.0),6051,16,2013,3376,
STATSNZ:AGR_AGR_001(1.0),6051,17,2004,1813,
STATSNZ:AGR_AGR_001(1.0),6051,17,2014,1693,
STATSNZ:AGR_AGR_001(1.0),6051,18,2012,0,
STATSNZ:AGR_AGR_001(1.0),6051,18,2013,0,
STATSNZ:AGR_AGR_001(1.0),6051,19,2016,8120,
STATSNZ:AGR_AGR_001(1.0),6051,19,2017,10764,
STATSNZ:AGR_AGR_001(1.0),6051,20,2013,42888,
STATSNZ:AGR_AGR_001(1.0),6051,3,2012,5181,
STATSNZ:AGR_AGR_001(1.0),6051,6,2010,2790,
STATSNZ:AGR_AGR_001(1.0),6051,9,2008,607,
STATSNZ:AGR_AGR_001(1.0),6052,1,2003,1465565,
STATSNZ:AGR_AGR_001(1.0),6052,11,2013,1119685,
STATSNZ:AGR_AGR_001(1.0),6052,12,2014,,c
STATSNZ:AGR_AGR_001(1.0),6052,13,2012,891459,
STATSNZ:AGR_AGR_001(1.0),6052,13,2013,901777,
STATSNZ:AGR_AGR_001(1.0),6052,14,2014,,c
STATSNZ:AGR_AGR_001(1.0),6052,15,2012,761007,
STATSNZ:AGR_AGR_001(1.0),6052,15,2013,963498,
STATSNZ:AGR_AGR_001(1.0),6052,16,2010,959972,
STATSNZ:AGR_AGR_001(1.0),6052,17,2002,551766,
STATSNZ:AGR_AGR_001(1.0),6052,17,2012,789411,
STATSNZ:AGR_AGR_001(1.0),6052,19,2007,4959625,
STATSNZ:AGR_AGR_001(1.0),6052,20,2003,22812498,
STATSNZ:AGR_AGR_001(1.0),6052,3,2017,4553695,
STATSNZ:AGR_AGR_001(1.0),6052,4,2009,4742107,
STATSNZ:AGR_AGR_001(1.0),6052,5,2006,743117,
STATSNZ:AGR_AGR_001(1.0),6052,5,2016,2140922,
STATSNZ:AGR_AGR_001(1.0),6052,5,2017,2082972,
